   Size   T(N)    T(S)    T(M)
   2      0.000   0.000   0.017
   53     0.002   0.005   0.001
   104    0.002   0.004   0.000
   155    0.009   0.040   0.002
   206    0.024   0.156   0.001
   257    0.040   0.106   0.002
   308    0.081   0.087   0.003
   359    0.096   0.041   0.004
   410    0.158   0.426   0.004
   461    0.154   0.625   0.004
   512    0.303   0.158   0.006
   562    0.251   1.090   0.008
   612    0.300   0.739   0.011
   662    0.401   2.046   0.010
   712    0.490   0.329   0.013
   762    0.691   3.643   0.015
   812    0.769   1.730   0.017
   862    1.037   5.833   0.022
   912    1.184   0.165   0.024
   962    1.648   8.053   0.025
   1012   1.960   3.893   0.030
   1024   4.783   0.901   0.029
   1124   3.029   5.531   0.041
   1224   4.356   1.911   0.056
   1324   6.196   9.094   0.062
   1424   6.530   0.716   0.069
   1524   10.692   14.096   0.079
   1624   13.511   4.636   0.098
   1724   18.631   20.966   0.105
   1824   23.970   0.301   0.123
   1924   30.597   28.919   0.136
   2024   35.472   9.096   0.168
   2048   68.084   6.390   0.177
   2248   48.719   12.615   0.212
   2448   64.008   3.614   0.259
   2648   84.814   20.959   0.428
   2848   113.954   1.206   0.376
   3048   134.673   31.302   0.455
   3248   181.081   9.038   0.588
   3448   227.030   49.024   0.687
   3648   250.604   0.596   0.778
   3848   309.702   69.239   0.875
   4048   373.716   18.348   1.139
   4096   681.522   48.316   1.035
   5096   743.003   153.247   1.884
   6096   1424.562   65.613   3.606
